Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,FantasyPts
2017,REG,1,Jordy Nelson,WR,3,GB,CIN,9,6,67,52,2,23,6,9,0,0,0,0,0,23.20
2017,REG,2,Geronimo Allison,WR,3,GB,CIN,8,6,75,122,0,72,15,20,0,0,0,0,0,21.20
2017,REG,3,Davante Adams,WR,3,GB,CIN,6,3,50,60,0,41,10,20,0,0,0,0,0,9.00
2017,REG,4,Jeff Janis,WR,3,GB,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Trevor Davis,WR,3,GB,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Bruce Ellington,WR,3,HOU,NE,7,4,57,59,1,29,8,15,1,-1,0,0,0,15.80
2017,REG,2,DeAndre Hopkins,WR,3,HOU,NE,8,7,88,76,0,21,10,11,0,0,0,0,0,14.60
2017,REG,3,Braxton Miller,WR,3,HOU,NE,4,1,25,15,0,15,4,15,0,0,0,0,0,2.50
2017,REG,1,TY Hilton,WR,3,IND,CLE,9,7,78,153,1,61,17,22,0,0,0,0,0,31.30
2017,REG,2,Donte Moncrief,WR,3,IND,CLE,3,2,67,44,0,34,15,22,0,0,0,0,0,6.40
2017,REG,3,Quan Bray,WR,3,IND,CLE,1,1,100,22,0,22,22,22,0,0,0,0,0,3.20
2017,REG,4,Kamar Aiken,WR,3,IND,CLE,1,1,100,9,0,9,9,9,0,0,0,0,0,1.90
2017,REG,5,Matt Hazel,WR,3,IND,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Allen Hurns,WR,3,JAX,BAL,3,3,100,20,1,9,7,7,0,0,0,0,0,11.00
2017,REG,2,Marqise Lee,WR,3,JAX,BAL,7,4,57,65,0,35,9,16,0,0,0,0,0,10.50
2017,REG,3,Keelan Cole,WR,3,JAX,BAL,4,1,25,13,0,13,3,13,0,0,0,0,0,2.30
2017,REG,4,Arrelious Benn,WR,3,JAX,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Maxwell McCaffrey,WR,3,JAX,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Tyreek Hill,WR,3,KC,LAC,8,5,63,77,1,30,10,15,3,13,0,0,0,20.00
2017,REG,2,Albert Wilson,WR,3,KC,LAC,4,3,75,18,1,11,5,6,1,-4,0,0,0,10.40
2017,REG,3,Demarcus Robinson,WR,3,KC,LAC,2,2,100,9,0,7,5,5,0,0,0,0,0,2.90
2017,REG,4,De'Anthony Thomas,WR,3,KC,LAC,1,1,100,14,0,14,14,14,0,0,0,0,0,2.40
2017,REG,5,Chris Conley,WR,3,KC,LAC,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Travis Benjamin,WR,3,LAC,KC,8,5,63,105,0,44,13,21,1,9,0,0,0,19.40
2017,REG,2,Keenan Allen,WR,3,LAC,KC,9,5,56,61,0,17,7,12,0,0,0,0,0,11.10
2017,REG,3,Tyrell Williams,WR,3,LAC,KC,7,2,29,15,0,14,2,8,0,0,0,0,0,3.50
2017,REG,4,Dontrelle Inman,WR,3,LAC,KC,1,1,100,2,0,2,2,2,0,0,0,0,0,1.20
2017,REG,1,Sammy Watkins,WR,3,LAR,SF,7,6,86,106,2,47,15,18,0,0,0,0,0,31.60
2017,REG,2,Robert Woods,WR,3,LAR,SF,7,6,86,108,0,31,15,18,0,0,0,0,0,19.80
2017,REG,3,Cooper Kupp,WR,3,LAR,SF,2,2,100,17,0,13,9,9,0,0,0,0,0,3.70
2017,REG,4,Tavon Austin,WR,3,LAR,SF,0,0,0,0,0,0,0,0,3,14,0,1,1,0.40
2017,REG,5,Pharoh Cooper,WR,3,LAR,SF,1,1,100,4,0,4,4,4,0,0,0,1,1,0.40
2017,REG,6,Josh Reynolds,WR,3,LAR,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Devante Parker,WR,3,MIA,NYJ,10,8,80,76,1,26,8,10,0,0,0,0,0,21.60
2017,REG,2,Jarvis Landry,WR,3,MIA,NYJ,11,6,55,48,0,15,4,8,0,0,0,0,0,10.80
2017,REG,3,Kenny Stills,WR,3,MIA,NYJ,10,4,40,51,0,17,5,13,0,0,0,0,0,9.10
2017,REG,4,Jakeem Grant,WR,3,MIA,NYJ,1,1,100,12,0,12,12,12,0,0,0,1,0,2.20
2017,REG,5,Leonte Carroo,WR,3,MIA,NYJ,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Stefon Diggs,WR,3,MIN,TB,11,8,73,173,2,59,16,22,0,0,0,0,0,40.30
