Year,Season,Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,FantasyPts
2017,REG,3,Roosevelt Nix,RB,3,PIT,CHI,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,4,James Conner,RB,3,PIT,CHI,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Chris Carson,RB,3,SEA,TEN,11,34,3,0,2,2,18,1,0,0,13.20
2017,REG,2,CJ Prosise,RB,3,SEA,TEN,4,9,2,0,5,3,65,0,0,0,10.40
2017,REG,3,Thomas Rawls,RB,3,SEA,TEN,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,4,Tre Madden,RB,3,SEA,TEN,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Carlos Hyde,RB,3,SF,LAR,25,84,3,2,4,3,10,0,0,0,24.40
2017,REG,2,Matt Breida,RB,3,SF,LAR,3,9,3,0,4,3,20,0,0,0,5.90
2017,REG,3,Kyle Juszczyk,RB,3,SF,LAR,0,0,0,0,1,1,34,0,0,0,4.40
2017,REG,4,Raheem Mostert,RB,3,SF,LAR,4,11,3,0,0,0,0,0,1,1,0.10
2017,REG,1,Charles Sims,RB,3,TB,MIN,2,4,2,0,1,1,9,0,0,0,2.30
2017,REG,2,Jacquizz Rodgers,RB,3,TB,MIN,5,15,3,0,0,0,0,0,0,0,1.50
2017,REG,3,Alan Cross,RB,3,TB,MIN,0,0,0,0,1,1,5,0,0,0,1.50
2017,REG,4,Peyton Barber,RB,3,TB,MIN,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,DeMarco Murray,RB,3,TEN,SEA,14,115,8,1,2,1,5,0,0,0,22.00
2017,REG,2,Derrick Henry,RB,3,TEN,SEA,13,54,4,0,1,1,10,0,0,0,7.40
2017,REG,3,David Fluellen,RB,3,TEN,SEA,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,4,Jalston Fowler,RB,3,TEN,SEA,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Chris Thompson,RB,3,WAS,OAK,8,38,5,0,7,6,150,1,0,0,33.80
2017,REG,2,Samaje Perine,RB,3,WAS,OAK,19,49,3,0,1,1,6,0,1,1,5.50
2017,REG,3,Mack Brown,RB,3,WAS,OAK,6,27,5,0,0,0,0,0,0,0,2.70
