Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,YdsPerTarget,YdsPerRec,Rush,Yds,TD,Fum,Lost,FantasyPts
2016,REG,7,Ed Dickson,TE,4,CAR,ATL,2,2,100,17,0,9,9,9,0,0,0,0,0,2.70
2016,REG,8,Ed Dickson,TE,1,CAR,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,9,Scott Simonson,TE,1,CAR,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,10,Ed Dickson,TE,2,CAR,SF,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,11,Scott Simonson,TE,2,CAR,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,12,Scott Simonson,TE,3,CAR,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,13,Scott Simonson,TE,4,CAR,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,14,Ed Dickson,TE,5,CAR,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,15,Scott Simonson,TE,5,CAR,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,Zach Miller,TE,3,CHI,DAL,9,8,89,78,2,26,9,10,0,0,0,0,0,23.80
2016,REG,2,Zach Miller,TE,5,CHI,IND,8,7,88,73,0,23,9,10,0,0,0,0,0,10.80
2016,REG,3,Zach Miller,TE,4,CHI,DET,3,3,100,31,1,17,10,10,0,0,0,0,0,10.60
2016,REG,4,Zach Miller,TE,2,CHI,PHI,5,4,80,33,0,12,7,8,0,0,0,0,0,5.30
2016,REG,5,Zach Miller,TE,1,CHI,HOU,4,3,75,14,0,5,4,5,0,0,0,0,0,2.90
2016,REG,6,Logan Paulsen,TE,4,CHI,DET,3,2,67,10,0,7,3,5,0,0,0,0,0,2.00
2016,REG,7,Logan Paulsen,TE,1,CHI,HOU,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,8,Greg Scruggs,TE,1,CHI,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,9,Logan Paulsen,TE,2,CHI,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,10,Greg Scruggs,TE,2,CHI,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,11,Logan Paulsen,TE,3,CHI,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,12,Greg Scruggs,TE,3,CHI,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,13,Ben Braunecker,TE,4,CHI,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,14,Logan Paulsen,TE,5,CHI,IND,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,15,Ben Braunecker,TE,5,CHI,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,CJ Uzomah,TE,1,CIN,NYJ,5,2,40,59,0,54,12,30,0,0,0,0,0,6.90
2016,REG,2,CJ Uzomah,TE,5,CIN,DAL,5,5,100,43,0,14,9,9,0,0,0,0,0,6.80
2016,REG,3,CJ Uzomah,TE,4,CIN,MIA,5,4,80,45,0,19,9,11,0,0,0,0,0,6.50
2016,REG,4,Tyler Kroft,TE,2,CIN,PIT,4,3,75,35,0,21,9,12,0,0,0,0,0,5.00
2016,REG,5,Tyler Kroft,TE,5,CIN,DAL,3,3,100,29,0,13,10,10,0,0,0,0,0,4.40
2016,REG,6,CJ Uzomah,TE,3,CIN,DEN,4,2,50,31,0,22,8,16,0,0,0,0,0,4.10
