Year,Season,Rk,Player,Pos,Week,Team,Opp,Att,Yds,YdsPerAtt,TD,Targets,Rec,Yds,TD,Fum,Lost,FantasyPts
2016,REG,6,Alfred Morris,RB,3,DAL,CHI,5,19,4,1,1,1,2,0,0,0,8.60
2016,REG,7,Alfred Morris,RB,2,DAL,WAS,5,7,1,1,0,0,0,0,0,0,6.70
2016,REG,8,Lance Dunbar,RB,3,DAL,CHI,1,1,1,1,0,0,0,0,0,0,6.10
2016,REG,9,Lance Dunbar,RB,2,DAL,WAS,3,6,2,0,2,2,26,0,0,0,4.20
2016,REG,10,Alfred Morris,RB,1,DAL,NYG,7,35,5,0,1,0,0,0,0,0,3.50
2016,REG,11,Alfred Morris,RB,4,DAL,SF,7,34,5,0,0,0,0,0,0,0,3.40
2016,REG,12,Alfred Morris,RB,5,DAL,CIN,6,33,6,0,1,0,0,0,0,0,3.30
2016,REG,13,Lance Dunbar,RB,4,DAL,SF,1,2,2,0,2,2,14,0,0,0,2.60
2016,REG,14,Lance Dunbar,RB,1,DAL,NYG,0,0,0,0,2,1,16,0,0,0,2.10
2016,REG,15,Keith Smith,RB,4,DAL,SF,1,2,2,0,1,1,14,0,0,0,2.10
2016,REG,16,Keith Smith,RB,2,DAL,WAS,0,0,0,0,1,1,5,0,0,0,1.00
2016,REG,17,Rod Smith,RB,5,DAL,CIN,0,0,0,0,1,1,4,0,0,0,0.90
2016,REG,18,Keith Smith,RB,1,DAL,NYG,1,3,3,0,0,0,0,0,0,0,0.30
2016,REG,19,Rod Smith,RB,1,DAL,NYG,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,20,Rod Smith,RB,2,DAL,WAS,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,21,Keith Smith,RB,3,DAL,CHI,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,22,Rod Smith,RB,3,DAL,CHI,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,23,Rod Smith,RB,4,DAL,SF,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,24,Keith Smith,RB,5,DAL,CIN,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,CJ Anderson,RB,1,DEN,CAR,20,92,5,1,5,4,47,1,0,0,27.90
2016,REG,2,CJ Anderson,RB,2,DEN,IND,20,74,4,1,5,3,19,0,0,0,16.80
2016,REG,3,CJ Anderson,RB,4,DEN,TB,19,49,3,1,1,1,3,0,0,0,11.70
2016,REG,4,Andy Janovich,RB,1,DEN,CAR,1,28,28,1,0,0,0,0,0,0,8.80
2016,REG,5,Devontae Booker,RB,5,DEN,ATL,6,23,4,0,6,4,36,0,0,0,7.90
2016,REG,6,CJ Anderson,RB,5,DEN,ATL,11,41,4,0,4,3,21,0,0,0,7.70
2016,REG,7,Devontae Booker,RB,2,DEN,IND,9,46,5,0,1,1,5,0,0,0,5.60
2016,REG,8,CJ Anderson,RB,3,DEN,CIN,14,37,3,0,4,1,4,0,0,0,4.60
2016,REG,9,Devontae Booker,RB,4,DEN,TB,7,30,4,0,1,0,0,0,0,0,3.00
2016,REG,10,Devontae Booker,RB,3,DEN,CIN,4,8,2,0,1,1,17,0,0,0,3.00
2016,REG,11,Andy Janovich,RB,3,DEN,CIN,1,2,2,0,1,1,13,0,0,0,2.00
2016,REG,12,Andy Janovich,RB,2,DEN,IND,0,0,0,0,1,1,11,0,0,0,1.60
2016,REG,13,Kapri Bibbs,RB,4,DEN,TB,3,14,5,0,0,0,0,0,0,0,1.40
2016,REG,14,Kapri Bibbs,RB,1,DEN,CAR,0,0,0,0,1,1,6,0,0,0,1.10
2016,REG,15,Kapri Bibbs,RB,2,DEN,IND,1,7,7,0,1,0,0,0,0,0,0.70
2016,REG,16,Andy Janovich,RB,5,DEN,ATL,1,2,2,0,1,0,0,0,0,0,0.20
