Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,FantasyPts
2017,REG,2,Kyle Rudolph,TE,2,MIN,PIT,6,4,67,45,0,27,8,11,0,0,0,0,0,8.50
2017,REG,3,Blake Bell,TE,1,MIN,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,4,David Morgan,TE,1,MIN,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Blake Bell,TE,2,MIN,PIT,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,David Morgan,TE,2,MIN,PIT,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Rob Gronkowski,TE,2,NE,NO,9,6,67,116,1,53,13,19,0,0,0,0,0,26.60
2017,REG,2,Rob Gronkowski,TE,1,NE,KC,6,2,33,33,0,17,6,17,0,0,0,0,0,5.30
2017,REG,3,Jacob Hollister,TE,2,NE,NO,2,1,50,5,0,5,3,5,0,0,0,0,0,1.50
2017,REG,4,Dwayne Allen,TE,1,NE,KC,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Dwayne Allen,TE,2,NE,NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Coby Fleener,TE,1,NO,MIN,6,5,83,54,1,24,9,11,0,0,0,0,0,16.40
2017,REG,2,Coby Fleener,TE,2,NO,NE,4,3,75,33,1,20,8,11,0,0,0,0,0,12.30
2017,REG,3,Josh Hill,TE,2,NO,NE,3,3,100,29,0,13,10,10,0,0,0,0,0,5.90
2017,REG,4,Michael Hoomanawanui,TE,2,NO,NE,1,1,100,8,0,8,8,8,0,0,0,0,0,1.80
2017,REG,5,Michael Hoomanawanui,TE,1,NO,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Josh Hill,TE,1,NO,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,7,Trey Edmunds,TE,1,NO,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,8,Trey Edmunds,TE,2,NO,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Evan Engram,TE,2,NYG,DET,7,4,57,49,1,18,7,12,0,0,0,0,0,14.90
2017,REG,2,Evan Engram,TE,1,NYG,DAL,5,4,80,44,0,31,9,11,0,0,0,0,0,8.40
2017,REG,3,Jerell Adams,TE,2,NYG,DET,1,1,100,38,0,38,38,38,0,0,0,0,0,4.80
2017,REG,4,Rhett Ellison,TE,2,NYG,DET,2,2,100,21,0,12,11,11,0,0,0,0,0,4.10
2017,REG,5,Rhett Ellison,TE,1,NYG,DAL,1,1,100,9,0,9,9,9,0,0,0,0,0,1.90
2017,REG,6,Jerell Adams,TE,1,NYG,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Will Tye,TE,1,NYJ,BUF,3,3,100,34,0,21,11,11,0,0,0,0,0,6.40
2017,REG,2,Eric Tomlinson,TE,1,NYJ,BUF,2,2,100,25,0,25,13,13,0,0,0,0,0,4.50
2017,REG,3,Will Tye,TE,2,NYJ,OAK,3,1,33,4,0,4,1,4,0,0,0,0,0,1.40
2017,REG,1,Jared Cook,TE,1,OAK,TEN,5,5,100,56,0,22,11,11,0,0,0,0,0,10.60
2017,REG,2,Jared Cook,TE,2,OAK,NYJ,6,4,67,25,0,10,4,6,0,0,0,0,0,6.50
2017,REG,3,Lee Smith,TE,2,OAK,NYJ,1,1,100,9,0,9,9,9,0,0,0,0,0,1.90
2017,REG,4,Clive Walford,TE,2,OAK,NYJ,1,1,100,7,0,7,7,7,0,0,0,0,0,1.70
2017,REG,5,Lee Smith,TE,1,OAK,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Clive Walford,TE,1,OAK,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Zach Ertz,TE,1,PHI,WAS,8,8,100,93,0,23,12,12,0,0,0,0,0,17.30
2017,REG,2,Zach Ertz,TE,2,PHI,KC,10,5,50,97,0,53,10,19,0,0,0,0,0,14.70
2017,REG,3,Brent Celek,TE,1,PHI,WAS,2,1,50,11,0,11,6,11,0,0,0,0,0,2.10
2017,REG,4,Trey Burton,TE,2,PHI,KC,1,1,100,10,0,10,10,10,0,0,0,0,0,2.00
2017,REG,5,Trey Burton,TE,1,PHI,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Brent Celek,TE,2,PHI,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Jesse James,TE,1,PIT,CLE,8,6,75,41,2,19,5,7,0,0,0,0,0,22.10
2017,REG,2,Jesse James,TE,2,PIT,MIN,5,4,80,27,0,12,5,7,0,0,0,0,0,6.70
2017,REG,3,Vance McDonald,TE,1,PIT,CLE,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,4,Xavier Grimble,TE,1,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Xavier Grimble,TE,2,PIT,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Luke Willson,TE,2,SEA,SF,3,3,100,25,0,19,8,8,0,0,0,0,0,5.50
