Year,Season,Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,FantasyPts
2017,REG,7,Devante Mays,RB,1,GB,SEA,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,8,Aaron Jones,RB,2,GB,ATL,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Lamar Miller,RB,2,HOU,CIN,18,61,3,0,3,3,26,0,0,0,11.70
2017,REG,2,Lamar Miller,RB,1,HOU,JAX,17,65,4,0,2,2,31,0,0,0,11.60
2017,REG,3,Tyler Ervin,RB,1,HOU,JAX,3,8,3,0,5,4,18,0,0,0,6.60
2017,REG,4,Tyler Ervin,RB,2,HOU,CIN,0,0,0,0,5,3,16,0,0,0,4.60
2017,REG,5,D'Onta Foreman,RB,2,HOU,CIN,12,40,3,0,0,0,0,0,0,0,4.00
2017,REG,6,D'Onta Foreman,RB,1,HOU,JAX,1,4,4,0,0,0,0,0,0,0,0.40
2017,REG,7,Jordan Todman,RB,1,HOU,JAX,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,8,Jay Prosch,RB,1,HOU,JAX,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,9,Jordan Todman,RB,2,HOU,CIN,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,10,Jay Prosch,RB,2,HOU,CIN,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Marlon Mack,RB,1,IND,LAR,10,24,2,1,1,1,21,0,1,0,11.50
2017,REG,2,Frank Gore,RB,2,IND,ARI,14,46,3,1,2,0,0,0,0,0,10.60
2017,REG,3,Frank Gore,RB,1,IND,LAR,10,42,4,0,1,1,10,0,0,0,6.20
2017,REG,4,Robert Turbin,RB,2,IND,ARI,3,11,4,0,1,1,8,0,0,0,2.90
2017,REG,5,Marlon Mack,RB,2,IND,ARI,6,-3,-1,0,1,1,11,0,0,0,1.80
2017,REG,6,Robert Turbin,RB,1,IND,LAR,2,7,4,0,1,1,-4,0,0,0,1.30
2017,REG,1,Leonard Fournette,RB,1,JAX,HOU,26,100,4,1,3,3,24,0,1,0,24.40
2017,REG,2,Leonard Fournette,RB,2,JAX,TEN,14,40,3,1,5,2,21,0,0,0,14.10
2017,REG,3,Chris Ivory,RB,2,JAX,TEN,6,17,3,0,4,3,31,0,0,0,7.80
2017,REG,4,Tommy Bohanon,RB,1,JAX,HOU,1,0,0,0,1,1,1,1,0,0,7.10
2017,REG,5,Chris Ivory,RB,1,JAX,HOU,9,42,5,0,2,1,11,0,0,0,6.30
2017,REG,6,Corey Grant,RB,2,JAX,TEN,1,13,13,0,0,0,0,0,0,0,1.30
2017,REG,7,Corey Grant,RB,1,JAX,HOU,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,8,Tommy Bohanon,RB,2,JAX,TEN,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Kareem Hunt,RB,1,KC,NE,17,148,9,1,5,5,98,2,1,1,49.60
2017,REG,2,Kareem Hunt,RB,2,KC,PHI,13,81,6,2,3,3,28,0,0,0,25.90
2017,REG,3,Charcandrick West,RB,1,KC,NE,1,21,21,1,1,1,4,0,0,0,9.50
2017,REG,4,Anthony Sherman,RB,1,KC,NE,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,5,Anthony Sherman,RB,2,KC,PHI,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,6,Charcandrick West,RB,2,KC,PHI,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,7,Akeem Hunt,RB,2,KC,PHI,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Melvin Gordon,RB,2,LAC,MIA,9,13,1,1,8,7,65,0,0,0,20.80
2017,REG,2,Melvin Gordon,RB,1,LAC,DEN,18,54,3,0,6,5,25,1,0,0,18.90
2017,REG,3,Austin Ekeler,RB,1,LAC,DEN,0,0,0,0,2,2,18,0,0,0,3.80
2017,REG,4,Branden Oliver,RB,2,LAC,MIA,3,31,10,0,0,0,0,0,0,0,3.10
2017,REG,5,Branden Oliver,RB,1,LAC,DEN,4,10,3,0,1,0,0,0,0,0,1.00
2017,REG,6,Derek Watt,RB,1,LAC,DEN,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,7,Derek Watt,RB,2,LAC,MIA,1,0,0,0,0,0,0,0,0,0,0.00
2017,REG,8,Austin Ekeler,RB,2,LAC,MIA,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Todd Gurley,RB,2,LAR,WAS,16,88,6,1,4,3,48,1,2,1,27.60
2017,REG,2,Todd Gurley,RB,1,LAR,IND,19,40,2,1,6,5,56,0,1,0,20.60
2017,REG,3,Malcolm Brown,RB,1,LAR,IND,7,16,2,1,0,0,0,0,0,0,7.60
2017,REG,4,Malcolm Brown,RB,2,LAR,WAS,0,0,0,0,1,1,-4,0,0,0,0.60
2017,REG,5,Justin Davis,RB,1,LAR,IND,1,1,1,0,0,0,0,0,0,0,0.10
2017,REG,1,Jay Ajayi,RB,2,MIA,LAC,28,122,4,0,2,2,4,0,0,0,17.60
2017,REG,2,Damien Williams,RB,2,MIA,LAC,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,3,Senorise Perry,RB,2,MIA,LAC,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,4,Kenyan Drake,RB,2,MIA,LAC,1,-3,-3,0,0,0,0,0,0,0,-0.30
2017,REG,1,Dalvin Cook,RB,1,MIN,NO,22,127,6,0,5,3,10,0,0,0,19.70
2017,REG,2,Dalvin Cook,RB,2,MIN,PIT,12,64,5,0,3,2,0,0,0,0,8.40
2017,REG,3,Jerick McKinnon,RB,1,MIN,NO,3,5,2,0,3,3,32,0,0,0,6.70
2017,REG,4,CJ Ham,RB,2,MIN,PIT,1,1,1,1,0,0,0,0,0,0,6.10
2017,REG,5,Jerick McKinnon,RB,2,MIN,PIT,3,16,5,0,5,3,9,0,0,0,5.50
2017,REG,6,Latavius Murray,RB,1,MIN,NO,2,6,3,0,0,0,0,0,1,0,0.60
2017,REG,7,Latavius Murray,RB,2,MIN,PIT,3,6,2,0,0,0,0,0,0,0,0.60
2017,REG,8,CJ Ham,RB,1,MIN,NO,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Mike Gillislee,RB,1,NE,KC,15,45,3,3,0,0,0,0,0,0,22.50
2017,REG,2,James White,RB,2,NE,NO,2,11,6,0,8,8,85,0,0,0,17.60
2017,REG,3,Rex Burkhead,RB,2,NE,NO,2,3,2,0,4,3,41,1,0,0,13.40
2017,REG,4,Mike Gillislee,RB,2,NE,NO,18,69,4,1,0,0,0,0,0,0,12.90
2017,REG,5,James White,RB,1,NE,KC,10,38,4,0,5,3,30,0,0,0,9.80
2017,REG,6,Dion Lewis,RB,2,NE,NO,4,14,4,0,1,1,11,0,0,0,3.50
2017,REG,7,Rex Burkhead,RB,1,NE,KC,3,15,5,0,3,1,8,0,0,0,3.30
2017,REG,8,James Develin,RB,2,NE,NO,0,0,0,0,1,1,6,0,0,0,1.60
2017,REG,9,Dion Lewis,RB,1,NE,KC,2,9,5,0,0,0,0,0,0,0,0.90
2017,REG,10,Brandon Bolden,RB,1,NE,KC,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,11,James Develin,RB,1,NE,KC,0,0,0,0,0,0,0,0,0,0,0.00
