QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,WR,Jakeem Grant (9768350),Jakeem Grant,9768350,WR,3000,MIA@CAR 11/13/2017 08:30PM ET,MIA,
,,,,,,,,,,WR,Leonte Carroo (9768370),Leonte Carroo,9768370,WR,3000,MIA@CAR 11/13/2017 08:30PM ET,MIA,
,,,,,,,,,,RB,Cameron Artis-Payne (9768374),Cameron Artis-Payne,9768374,RB,3000,MIA@CAR 11/13/2017 08:30PM ET,CAR,
,,,,,,,,,,WR,Isaiah Ford (9768386),Isaiah Ford,9768386,WR,3000,MIA@CAR 11/13/2017 08:30PM ET,MIA,
,,,,,,,,,,RB,Alex Armah (9768388),Alex Armah,9768388,RB,3000,MIA@CAR 11/13/2017 08:30PM ET,CAR,
,,,,,,,,,,TE,Julius Thomas (9768322),Julius Thomas,9768322,TE,2900,MIA@CAR 11/13/2017 08:30PM ET,MIA,
,,,,,,,,,,TE,A.J. Derby (9768319),A.J. Derby,9768319,TE,2800,NE@DEN 11/12/2017 08:30PM ET,DEN,
,,,,,,,,,,TE,Dwayne Allen (9768298),Dwayne Allen,9768298,TE,2700,NE@DEN 11/12/2017 08:30PM ET,NE,
,,,,,,,,,,TE,Virgil Green (9768283),Virgil Green,9768283,TE,2500,NE@DEN 11/12/2017 08:30PM ET,DEN,
,,,,,,,,,,TE,Jeff Heuerman (9768338),Jeff Heuerman,9768338,TE,2500,NE@DEN 11/12/2017 08:30PM ET,DEN,
,,,,,,,,,,TE,Jacob Hollister (9768372),Jacob Hollister,9768372,TE,2500,NE@DEN 11/12/2017 08:30PM ET,NE,
,,,,,,,,,,TE,Jake Butt (9768376),Jake Butt,9768376,TE,2500,NE@DEN 11/12/2017 08:30PM ET,DEN,
,,,,,,,,,,DST,Dolphins  (9768261),Dolphins ,9768261,DST,2500,MIA@CAR 11/13/2017 08:30PM ET,MIA,
,,,,,,,,,,TE,Anthony Fasano (9768268),Anthony Fasano,9768268,TE,2500,MIA@CAR 11/13/2017 08:30PM ET,MIA,
,,,,,,,,,,TE,MarQueis Gray (9768300),MarQueis Gray,9768300,TE,2500,MIA@CAR 11/13/2017 08:30PM ET,MIA,
,,,,,,,,,,TE,Chris Manhertz (9768332),Chris Manhertz,9768332,TE,2500,MIA@CAR 11/13/2017 08:30PM ET,CAR,
