Id,Position,Firstname,Nickname,Lastname,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
21734-53639,WR,,Isaiah McKenzie,,-0.183333337,6,4500,DEN@PHI,DEN,PHI,,
21734-22920,TE,,Derek Carrier,,1.325000048,4,4500,LAR@NYG,LAR,NYG,,
21734-53645,RB,,Elijah Hood,,0,0,4500,OAK@MIA,OAK,MIA,,
21734-54674,WR,,Jeremy Butler,,1.049999952,2,4500,BUF@NYJ,BUF,NYJ,IR,Concussion
21734-28055,WR,,Amara Darboh,,1.6,5,4500,WAS@SEA,SEA,WAS,,
21734-41370,WR,,Trevor Davis,,0.233333329,6,4500,DET@GB,GB,DET,,
21734-80289,WR,,Kendrick Bourne,,0,2,4500,ARI@SF,SF,ARI,,
21734-28065,WR,,Jehu Chesson,,0,2,4500,KC@DAL,KC,DAL,,
21734-47523,WR,,Tajae Sharpe,,5.300000191,16,4500,BAL@TEN,TEN,BAL,IR,Foot
21734-32185,RB,,Zach Line,,0,2,4500,TB@NO,NO,TB,,
21734-31169,TE,,Jeremy Sprinkle,,0,0,4500,WAS@SEA,WAS,SEA,,
21734-53697,WR,,Kaelin Clay,,0.65999999,5,4500,ATL@CAR,CAR,ATL,,
21734-28106,RB,,Joe Kerridge,,0,1,4500,DET@GB,GB,DET,,
21734-39373,WR,,Jaelen Strong,,3.350000064,6,4500,CIN@JAC,JAC,CIN,,
21734-21972,WR,,Brian Quick,,1.600000024,1,4500,WAS@SEA,WAS,SEA,,
21734-54742,TE,,Scott Simonson,,0,0,4500,ATL@CAR,CAR,ATL,IR,Back
21734-23003,TE,,Phillip Supernaw,,3.133333206,3,4500,BAL@TEN,TEN,BAL,,
21734-6622,WR,,Eric Weems,,0.2,5,4500,BAL@TEN,TEN,BAL,,
21734-15838,TE,,Erik Swoope,,4.800000085,9,4500,IND@HOU,IND,HOU,IR,Knee
21734-14816,TE,,Kyle Nelson,,0,0,4500,ARI@SF,SF,ARI,,
21734-31207,TE,,C.J. Uzomah,,1.800000032,3,4500,CIN@JAC,CIN,JAC,,
21734-32235,WR,,Marcus Johnson,,0.800000012,4,4500,DEN@PHI,PHI,DEN,,
21734-60910,WR,,Dede Westbrook,,0,0,4500,CIN@JAC,JAC,CIN,IR,Abdomen
21734-41469,TE,,Darrell Daniels,,1.024999976,4,4500,IND@HOU,IND,HOU,,
21734-29183,RB,,D.J. Foster,,1.033333302,3,4500,ARI@SF,ARI,SF,,
21734-39428,RB,,Kyle Juszczyk,,4.059999847,5,4500,ARI@SF,SF,ARI,,
21734-23046,RB,,Jamize Olawale,,2.525000095,4,4500,OAK@MIA,OAK,MIA,Q,Hamstring
21734-80400,RB,,Lenard Tillery,,0,0,4500,LAR@NYG,LAR,NYG,IR,Undisclosed
21734-40477,TE,,Keith Towbridge,,0,0,4500,BUF@NYJ,BUF,NYJ,IR,Undisclosed
21734-22048,RB,,Robert Turbin,,3.566666603,6,4500,IND@HOU,IND,HOU,IR,Elbow
21734-30244,RB,,Matt Jones,,0.699999988,2,4500,IND@HOU,IND,HOU,,
21734-31269,RB,,Corey Grant,,3.220000076,5,4500,CIN@JAC,JAC,CIN,,
21734-7718,RB,,Cedric Peerman,,1.5,1,4500,CIN@JAC,CIN,JAC,IR,Shoulder
21734-33320,RB,,Senorise Perry,,0,0,4500,OAK@MIA,MIA,OAK,,
21734-38441,RB,,Justin Davis,,0.100000001,1,4500,LAR@NYG,LAR,NYG,,
21734-22065,TE,,Rhett Ellison,,2.8,5,4500,LAR@NYG,NYG,LAR,,
21734-62002,RB,,Devante Mays,,0,0,4500,DET@GB,GB,DET,,
21734-28219,RB,,Lawrence Thomas,,1.699999968,3,4500,BUF@NYJ,NYJ,BUF,O,Concussion
21734-28226,WR,,Aaron Burbridge,,1.287500024,8,4500,ARI@SF,SF,ARI,IR,Hamstring
21734-32331,RB,,Tra Carson,,0,0,4500,CIN@JAC,CIN,JAC,IR,Undisclosed
21734-31308,WR,,Quan Bray,,0.675000012,8,4500,IND@HOU,IND,HOU,,
21734-43599,TE,,Andrew Price,,0,0,4500,DET@GB,DET,GB,,
21734-6742,TE,,Brent Celek,,1.060000038,5,4500,DEN@PHI,PHI,DEN,,
21734-18009,TE,,Chris Manhertz,,1.600000024,1,4500,ATL@CAR,CAR,ATL,,
21734-30297,TE,,Trey Burton,,2.916666667,6,4500,DEN@PHI,PHI,DEN,,
21734-31321,RB,,Jay Prosch,,2.299999952,1,4500,IND@HOU,HOU,IND,,
21734-29277,TE,,Stephen Anderson,,3.28333346,6,4500,IND@HOU,HOU,IND,,
21734-22123,TE,,James Hanna,,4.650000095,2,4500,KC@DAL,DAL,KC,,
21734-30326,RB,,Keith Marshall,,0,0,4500,WAS@SEA,WAS,SEA,IR,Knee
21734-29304,RB,,Daniel Lasco II,,1.76666673,3,4500,TB@NO,NO,TB,,
21734-6778,TE,,Anthony Fasano,,4.03333346,3,4500,OAK@MIA,MIA,OAK,,
21734-38523,TE,,Geoff Swaim,,1.75,2,4500,KC@DAL,DAL,KC,,
21734-29314,TE,,Richard Rodgers,,2.650000095,2,4500,DET@GB,GB,DET,,
21734-55940,WR,,Chad Hansen,,0,0,4500,BUF@NYJ,NYJ,BUF,,
21734-27273,RB,,Andy Janovich,,0.725000024,4,4500,DEN@PHI,DEN,PHI,,
21734-33418,TE,,Alan Cross,,1.049999952,2,4500,TB@NO,TB,NO,,
21734-40586,WR,,Fred Ross Jr.,,0,0,4500,ATL@CAR,CAR,ATL,IR,Ankle
21734-28311,TE,,MarQueis Gray,,0,1,4500,OAK@MIA,MIA,OAK,,
21734-45723,TE,,Crockett Gillmore,,3.420000076,5,4500,BAL@TEN,BAL,TEN,IR,Knee
21734-80546,WR,,Dan Arnold,,0,0,4500,TB@NO,NO,TB,IR,Undisclosed
21734-29357,RB,,Kenjon Barner,,1.380000019,5,4500,DEN@PHI,PHI,DEN,,
21734-62127,TE,,Cole Hikutini,,1.25,2,4500,ARI@SF,SF,ARI,,
21734-25267,WR,,Mack Hollins,,6.599999905,4,4500,DEN@PHI,PHI,DEN,,
21734-22198,WR,,Brittan Golden,,3.166666667,3,4500,ARI@SF,ARI,SF,,
21734-28346,TE,,Maxx Williams,,1.466666698,3,4500,BAL@TEN,BAL,TEN,Q,Ankle
21734-39615,TE,,Brandon Williams,,2.339999962,5,4500,IND@HOU,IND,HOU,,
21734-52931,RB,,Elijhaa Penny,,0.600000024,2,4500,ARI@SF,ARI,SF,,
21734-70342,TE,,Temarrick Hemingway,,0,0,4500,LAR@NYG,LAR,NYG,IR,Lower leg
21734-16078,TE,,Ross Travis,,0.880000019,5,4500,KC@DAL,KC,DAL,,
21734-29390,TE,,Evan Baylis,,0,0,4500,ATL@CAR,CAR,ATL,,
21734-33488,TE,,Troy Niklas,,2.520000076,5,4500,ARI@SF,ARI,SF,,
21734-40669,WR,,Tyler Boyd,,1.825000048,4,4500,CIN@JAC,CIN,JAC,Q,Knee
21734-38624,RB,,T.J. Logan,,0,0,4500,ARI@SF,ARI,SF,IR,Wrist
21734-70372,WR,,Chester Rogers,,2.5,2,4500,IND@HOU,IND,HOU,,
21734-26343,WR,,Corey Fuller,,0,0,4500,TB@NO,NO,TB,IR,Undisclosed
21734-38634,WR,,Ryan Switzer,,0.114285716,7,4500,KC@DAL,DAL,KC,,
21734-26355,TE,,Logan Thomas,,3.566666603,3,4500,BUF@NYJ,BUF,NYJ,,
21734-33531,TE,,Ben Koyack,,1.266666651,3,4500,CIN@JAC,JAC,CIN,,
21734-26384,RB,,Trey Edmunds,,0,2,4500,TB@NO,NO,TB,,
21734-15121,WR,,Chris Matthews,,1.333333333,3,4500,BAL@TEN,BAL,TEN,Q,Thigh
21734-27411,RB,,Aaron Ripkowski,,0.725000024,4,4500,DET@GB,GB,DET,,
21734-22292,RB,,Lance Dunbar,,2.663636294,11,4500,LAR@NYG,LAR,NYG,NA,Knee
21734-12055,TE,,Logan Paulsen,,0,1,4500,ARI@SF,SF,ARI,,
21734-70422,WR,,Kalif Raymond,,-1,2,4500,LAR@NYG,NYG,LAR,,
21734-22308,RB,,Joe Banyard,,0.699999988,1,4500,BUF@NYJ,BUF,NYJ,,
21734-31524,WR,,Cody Core,,0,2,4500,CIN@JAC,CIN,JAC,Q,Concussion
21734-29477,TE,,Connor Hamlett,,8.199999809,1,4500,KC@DAL,DAL,KC,,
21734-32556,WR,,Deante' Gray,,0,0,4500,IND@HOU,HOU,IND,IR,Knee - acl
21734-22317,WR,,Brenton Bersin,,1.350000024,2,4500,ATL@CAR,CAR,ATL,,
21734-10030,WR,,Harry Douglas,,4.071428571,7,4500,BAL@TEN,TEN,BAL,IR,Knee
21734-28463,WR,,Austin Carr,,0,0,4500,TB@NO,NO,TB,,
21734-70454,WR,,Jace Billingsley,,0,0,4500,DET@GB,DET,GB,,
21734-38722,TE,,Cethan Carter,,0,1,4500,CIN@JAC,CIN,JAC,,
21734-70467,WR,,Andy Jones,,0,0,4500,DET@GB,DET,GB,,
21734-70468,WR,,Ed Eagan,,0,2,4500,LAR@NYG,NYG,LAR,,
21734-28487,TE,,Jeff Heuerman,,3.875,4,4500,DEN@PHI,DEN,PHI,,
21734-38753,TE,,Jake Butt,,0,0,4500,DEN@PHI,DEN,PHI,O,Knee - acl
21734-29540,RB,,Terron Ward,,3.340000153,5,4500,ATL@CAR,ATL,CAR,,
21734-53097,WR,,Josh Reynolds,,3.299999952,1,4500,LAR@NYG,LAR,NYG,Q,Concussion
21734-32632,WR,,Bradley Marquez,,0.771428585,7,4500,LAR@NYG,LAR,NYG,IR,Knee
21734-28545,RB,,Rod Smith,,3.399999936,3,4500,KC@DAL,DAL,KC,,
21734-39814,TE,,Jordan Leggett,,0,0,4500,BUF@NYJ,NYJ,BUF,IR,Knee
21734-27527,TE,,Blake Jarwin,,0,0,4500,KC@DAL,DAL,KC,,
21734-40857,RB,,Peyton Barber,,2.450000048,2,4500,TB@NO,TB,NO,,
21734-28570,TE,,Nick Vannett,,1.450000048,4,4500,WAS@SEA,SEA,WAS,,
21734-25513,WR,,Darius Jennings,,0,0,4500,BAL@TEN,TEN,BAL,,
21734-22447,WR,,Griff Whalen,,2.150000095,2,4500,BAL@TEN,BAL,TEN,,
21734-29624,RB,,Tre Madden,,3.75,2,4500,WAS@SEA,SEA,WAS,,
21734-56248,WR,,Noah Brown,,1.799999952,1,4500,KC@DAL,DAL,KC,,
21734-43961,RB,,Tyler Ervin,,2.25,4,4500,IND@HOU,HOU,IND,IR,Knee
21734-30652,WR,,Tanner McEvoy,,1.200000048,4,4500,WAS@SEA,SEA,WAS,,
21734-30654,TE,,Jerell Adams,,2.333333333,3,4500,LAR@NYG,NYG,LAR,,
21734-32703,WR,,Jakeem Grant,,0.428571429,7,4500,OAK@MIA,MIA,OAK,,
21734-41922,WR,,Johnny Holton,,12.89999962,1,4500,OAK@MIA,OAK,MIA,,
21734-43970,RB,,Shane Smith,,0,0,4500,LAR@NYG,NYG,LAR,,
21734-43973,RB,,Keith Smith,,2,1,4500,KC@DAL,DAL,KC,,
21734-30678,WR,,Damiere Byrd,,0.300000012,4,4500,ATL@CAR,CAR,ATL,IR,Forearm
21734-14304,TE,,Luke Stocker,,1,1,4500,TB@NO,TB,NO,,
21734-41954,WR,,Victor Bolden Jr.,,0,4,4500,ARI@SF,SF,ARI,,
21734-40932,WR,,Pharoh Cooper,,1.157142912,7,4500,LAR@NYG,LAR,NYG,,
21734-41964,TE,,Vince Mayle,,2.066666603,3,4500,BAL@TEN,BAL,TEN,Q,Concussion
21734-14327,RB,,Anthony Sherman,,0.533333341,3,4500,KC@DAL,KC,DAL,,
21734-39930,WR,,Reggie Davis,,0,0,4500,ATL@CAR,ATL,CAR,,
21734-14349,WR,,Jeremy Kerley,,4.957142966,7,5400,BUF@NYJ,NYJ,BUF,,
21734-40758,RB,,Corey Clement,,4.866666794,6,4500,DEN@PHI,PHI,DEN,,
21734-25561,WR,,Michael Campanaro,,3.485714231,7,4500,BAL@TEN,BAL,TEN,Q,Shoulder
21734-54879,QB,,Deshaun Watson,,25.26571437,7,9600,IND@HOU,HOU,IND,,
21734-6504,QB,,Drew Brees,,17.73428563,7,8300,TB@NO,NO,TB,,
21734-22015,QB,,Russell Wilson,,23.10285732,7,8500,WAS@SEA,SEA,WAS,,
21734-31716,QB,,Dak Prescott,,21.36571394,7,8200,KC@DAL,DAL,KC,,
21734-8005,QB,,Alex Smith,,21.32999992,8,7900,KC@DAL,KC,DAL,,
21734-6779,RB,,LeSean McCoy,,15.90000044,7,8500,BUF@NYJ,BUF,NYJ,,
21734-30447,RB,,Todd Gurley,,21.35714286,7,9100,LAR@NYG,LAR,NYG,,
21734-14185,QB,,Cam Newton,,18.01749992,8,7600,ATL@CAR,CAR,ATL,,
21734-24849,QB,,Jameis Winston,,15.48857117,7,7700,TB@NO,TB,NO,Q,Shoulder - ac joint
21734-45229,RB,,Kareem Hunt,,19.375,8,9000,KC@DAL,KC,DAL,,
21734-6654,QB,,Matthew Stafford,,16.97714233,7,7900,DET@GB,DET,GB,,
21734-70324,QB,,Carson Wentz,,21.72750092,8,8000,DEN@PHI,PHI,DEN,,
21734-14377,QB,,Tyrod Taylor,,15.31714303,7,7500,BUF@NYJ,BUF,NYJ,,
21734-16606,WR,,DeAndre Hopkins,,17.87142835,7,9100,IND@HOU,HOU,IND,,
21734-52922,RB,,Leonard Fournette,,20.44999949,6,8600,CIN@JAC,JAC,CIN,Q,Ankle
21734-45859,QB,,Derek Carr,,15.76571437,7,7800,OAK@MIA,OAK,MIA,,
21734-14211,RB,,Mark Ingram,,14.05714308,7,7900,TB@NO,NO,TB,,
21734-29358,QB,,Marcus Mariota,,15.74000041,6,7800,BAL@TEN,TEN,BAL,,
21734-22038,QB,,Kirk Cousins,,19.44285801,7,7500,WAS@SEA,WAS,SEA,,
21734-7744,QB,,Drew Stanton,,2.039999962,1,6400,ARI@SF,ARI,SF,,
21734-38435,QB,,Jared Goff,,15.60857173,7,7600,LAR@NYG,LAR,NYG,,
21734-30231,QB,,Jacoby Brissett,,13.89750004,8,6500,IND@HOU,IND,HOU,,
21734-6616,QB,,Matt Ryan,,15.10857173,7,7600,ATL@CAR,ATL,CAR,,
