"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"21842-29593","WR","Marqise","Marqise Lee","Lee","8.4375","8","6000","LAC@JAC","JAC","LAC","","","",""
"21842-33702","QB","Ryan","Ryan Griffin","Griffin","0","0","6000","NYJ@TB","TB","NYJ","","","",""
"21842-30640","QB","Connor","Connor Shaw","Shaw","0","0","6000","GB@CHI","CHI","GB","","","",""
"21842-14320","RB","Bilal","Bilal Powell","Powell","9.25","8","6000","NYJ@TB","NYJ","TB","","","",""
"21842-79970","WR","Cooper","Cooper Kupp","Kupp","8.5","8","5900","HOU@LAR","LAR","HOU","","","",""
"21842-6627","WR","Ted","Ted Ginn Jr.","Ginn Jr.","10.399999618530273","8","5900","NO@BUF","NO","BUF","","","",""
"21842-22018","WR","Mohamed","Mohamed Sanu","Sanu","9.485714503696986","7","5900","DAL@ATL","ATL","DAL","","","",""
"21842-22163","WR","Rishard","Rishard Matthews","Matthews","9.1875","8","5900","CIN@TEN","TEN","CIN","","","",""
"21842-27776","RB","Tevin","Tevin Coleman","Coleman","9.675000190734863","8","5800","DAL@ATL","ATL","DAL","","","",""
"21842-45439","WR","Corey","Corey Davis","Davis","4.866666793823242","3","5800","CIN@TEN","TEN","CIN","","","",""
"21842-6641","TE","Jason","Jason Witten","Witten","8.175000190734863","8","5700","DAL@ATL","DAL","ATL","","","",""
"21842-54782","TE","Cameron","Cameron Brate","Brate","10.175000190734863","8","5700","NYJ@TB","TB","NYJ","","","",""
"21842-30298","TE","Jordan","Jordan Reed","Reed","7.766666412353516","6","5700","MIN@WAS","WAS","MIN","Q","Hamstring","",""
"21842-27477","WR","Sterling","Sterling Shepard","Shepard","9.016666412353516","6","5700","NYG@SF","NYG","SF","","","",""
"21842-14339","RB","Dion","Dion Lewis","Lewis","6.237500190734863","8","5600","NE@DEN","NE","DEN","","","",""
"21842-30837","WR","Jordan","Jordan Matthews","Matthews","5.485714503696987","7","5600","NO@BUF","BUF","NO","","","",""
"21842-6899","RB","Matt","Matt Forte","Forte","10.400000435965401","7","5600","NYJ@TB","NYJ","TB","","","",""
"21842-33766","RB","Rob","Rob Kelley","Kelley","6.466666539510091","6","5600","MIN@WAS","WAS","MIN","","","",""
"21842-24755","WR","Jamison","Jamison Crowder","Crowder","5.685714176722935","7","5500","MIN@WAS","WAS","MIN","Q","Hamstring","",""
"21842-25837","RB","Duke","Duke Johnson Jr.","Johnson Jr.","10.75","8","5500","CLE@DET","CLE","DET","Q","Head","",""
"21842-54684","RB","Isaiah","Isaiah Crowell","Crowell","8.225000381469727","8","5500","CLE@DET","CLE","DET","","","",""
"21842-57909","RB","Marlon","Marlon Mack","Mack","7.885714394705636","7","5500","PIT@IND","IND","PIT","","","",""
"21842-6863","TE","Delanie","Delanie Walker","Walker","7.724999904632568","8","5500","CIN@TEN","TEN","CIN","Q","Ankle","",""
"21842-14362","TE","Charles","Charles Clay","Clay","9.55999984741211","5","5400","NO@BUF","BUF","NO","Q","Knee - meniscus","",""
"21842-25760","WR","Allen","Allen Hurns","Hurns","8.012499809265137","8","5400","LAC@JAC","JAC","LAC","","","",""
"21842-12538","D","Los Angeles","Los Angeles Rams","Rams","12.125","8","5400","HOU@LAR","LAR","HOU","","","",""
"21842-26038","TE","Tyler","Tyler Kroft","Kroft","8.457142966134208","7","5400","CIN@TEN","CIN","TEN","","","",""
"21842-54753","WR","Taylor","Taylor Gabriel","Gabriel","5.125","8","5400","DAL@ATL","ATL","DAL","","","",""
"21842-22035","WR","Travis","Travis Benjamin","Benjamin","8.5","8","5400","LAC@JAC","LAC","JAC","","","",""
"21842-22109","K","Greg","Greg Zuerlein","Zuerlein","14.25","8","5400","HOU@LAR","LAR","HOU","","","",""
"21842-22113","RB","Alfred","Alfred Morris","Morris","2.1666666666666665","6","5400","DAL@ATL","DAL","ATL","","","",""
"21842-7806","RB","Darren","Darren McFadden","McFadden","3.9666665395100913","3","5400","DAL@ATL","DAL","ATL","","","",""
"21842-22288","WR","Cole","Cole Beasley","Beasley","6.4375","8","5400","DAL@ATL","DAL","ATL","","","",""
"21842-33552","WR","TJ","TJ Jones","Jones","5.785714285714286","7","5400","CLE@DET","DET","CLE","","","",""
"21842-32564","WR","Josh","Josh Doctson","Doctson","6.057143075125558","7","5400","MIN@WAS","WAS","MIN","","","",""
"21842-40845","TE","Hunter","Hunter Henry","Henry","9.116666793823242","6","5400","LAC@JAC","LAC","JAC","","","",""
"21842-14237","TE","Kyle","Kyle Rudolph","Rudolph","7.637499809265137","8","5400","MIN@WAS","MIN","WAS","","","",""
"21842-29734","RB","Ty","Ty Montgomery","Montgomery","9.471429007393974","7","5300","GB@CHI","GB","CHI","","","",""
