QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RB,Carlos Hyde (9725807),Carlos Hyde,9725807,RB,5200,ARI@SF 11/05/2017 04:05PM ET,SF,
,,,,,,,,,,RB,Joe Mixon (9726167),Joe Mixon,9726167,RB,5100,CIN@JAX 11/05/2017 01:00PM ET,CIN,
,,,,,,,,,,WR,Pierre Garcon (9725648),Pierre Garcon,9725648,WR,5100,ARI@SF 11/05/2017 04:05PM ET,SF,
,,,,,,,,,,QB,Brett Hundley (9726302),Brett Hundley,9726302,QB,5100,DET@GB 11/06/2017 08:30PM ET,GB,
,,,,,,,,,,QB,Andy Dalton (9725588),Andy Dalton,9725588,QB,5000,CIN@JAX 11/05/2017 01:00PM ET,CIN,
,,,,,,,,,,WR,Ted Ginn Jr. (9725557),Ted Ginn Jr.,9725557,WR,5000,TB@NO 11/05/2017 01:00PM ET,NO,
,,,,,,,,,,RB,Derrick Henry (9726089),Derrick Henry,9726089,RB,5000,BAL@TEN 11/05/2017 01:00PM ET,TEN,
,,,,,,,,,,TE,Jimmy Graham (9725571),Jimmy Graham,9725571,TE,5000,WAS@SEA 11/05/2017 04:05PM ET,SEA,
,,,,,,,,,,TE,Austin Seferian-Jenkins (9725886),Austin Seferian-Jenkins,9725886,TE,4900,BUF@NYJ 11/02/2017 08:25PM ET,NYJ,
,,,,,,,,,,WR,T.Y. Hilton (9725727),T.Y. Hilton,9725727,WR,4900,IND@HOU 11/05/2017 01:00PM ET,IND,
,,,,,,,,,,TE,Delanie Walker (9725543),Delanie Walker,9725543,TE,4900,BAL@TEN 11/05/2017 01:00PM ET,TEN,
,,,,,,,,,,QB,C.J. Beathard (9726019),C.J. Beathard,9726019,QB,4900,ARI@SF 11/05/2017 04:05PM ET,SF,
,,,,,,,,,,WR,Jamison Crowder (9725902),Jamison Crowder,9725902,WR,4900,WAS@SEA 11/05/2017 04:05PM ET,WAS,
,,,,,,,,,,QB,Jay Cutler (9726239),Jay Cutler,9726239,QB,4900,OAK@MIA 11/05/2017 08:30PM ET,MIA,
,,,,,,,,,,WR,Jermaine Kearse (9725700),Jermaine Kearse,9725700,WR,4800,BUF@NYJ 11/02/2017 08:25PM ET,NYJ,
,,,,,,,,,,QB,Ryan Fitzpatrick (9725529),Ryan Fitzpatrick,9725529,QB,4800,TB@NO 11/05/2017 01:00PM ET,TB,
,,,,,,,,,,QB,Eli Manning (9725551),Eli Manning,9725551,QB,4800,LAR@NYG 11/05/2017 01:00PM ET,NYG,
,,,,,,,,,,RB,C.J. Anderson (9725958),C.J. Anderson,9725958,RB,4800,DEN@PHI 11/05/2017 01:00PM ET,DEN,
,,,,,,,,,,WR,Nelson Agholor (9726010),Nelson Agholor,9726010,WR,4800,DEN@PHI 11/05/2017 01:00PM ET,PHI,
,,,,,,,,,,QB,Brian Hoyer (9725559),Brian Hoyer,9725559,QB,4800,ARI@SF 11/05/2017 04:05PM ET,SF,
,,,,,,,,,,TE,Jordan Reed (9725776),Jordan Reed,9725776,TE,4800,WAS@SEA 11/05/2017 04:05PM ET,WAS,
,,,,,,,,,,QB,EJ Manuel (9726210),EJ Manuel,9726210,QB,4800,OAK@MIA 11/05/2017 08:30PM ET,OAK,
,,,,,,,,,,RB,Tevin Coleman (9726038),Tevin Coleman,9726038,RB,4700,ATL@CAR 11/05/2017 01:00PM ET,ATL,
,,,,,,,,,,QB,AJ McCarron (9725775),AJ McCarron,9725775,QB,4700,CIN@JAX 11/05/2017 01:00PM ET,CIN,
,,,,,,,,,,QB,Blake Bortles (9725867),Blake Bortles,9725867,QB,4700,CIN@JAX 11/05/2017 01:00PM ET,JAX,
,,,,,,,,,,QB,Trevor Siemian (9725811),Trevor Siemian,9725811,QB,4700,DEN@PHI 11/05/2017 01:00PM ET,DEN,
,,,,,,,,,,QB,Drew Stanton (9725537),Drew Stanton,9725537,QB,4700,ARI@SF 11/05/2017 04:05PM ET,ARI,
,,,,,,,,,,QB,Colt McCoy (9725587),Colt McCoy,9725587,QB,4700,WAS@SEA 11/05/2017 04:05PM ET,WAS,
,,,,,,,,,,WR,Paul Richardson (9725863),Paul Richardson,9725863,WR,4700,WAS@SEA 11/05/2017 04:05PM ET,SEA,
,,,,,,,,,,QB,Patrick Mahomes II (9726198),Patrick Mahomes II,9726198,QB,4700,KC@DAL 11/05/2017 04:25PM ET,KC,
,,,,,,,,,,WR,Randall Cobb (9726318),Randall Cobb,9726318,WR,4700,DET@GB 11/06/2017 08:30PM ET,GB,
,,,,,,,,,,RB,Bilal Powell (9725664),Bilal Powell,9725664,RB,4600,BUF@NYJ 11/02/2017 08:25PM ET,NYJ,
,,,,,,,,,,QB,Tom Savage (9725786),Tom Savage,9725786,QB,4600,IND@HOU 11/05/2017 01:00PM ET,HOU,
,,,,,,,,,,QB,Chase Daniel (9725580),Chase Daniel,9725580,QB,4600,TB@NO 11/05/2017 01:00PM ET,NO,
,,,,,,,,,,QB,Joe Flacco (9725541),Joe Flacco,9725541,QB,4600,BAL@TEN 11/05/2017 01:00PM ET,BAL,
,,,,,,,,,,WR,Rishard Matthews (9725848),Rishard Matthews,9725848,WR,4600,BAL@TEN 11/05/2017 01:00PM ET,TEN,
,,,,,,,,,,RB,Alex Collins (9726118),Alex Collins,9726118,RB,4600,BAL@TEN 11/05/2017 01:00PM ET,BAL,
,,,,,,,,,,QB,Blaine Gabbert (9725713),Blaine Gabbert,9725713,QB,4600,ARI@SF 11/05/2017 04:05PM ET,ARI,
,,,,,,,,,,WR,Tyler Lockett (9725927),Tyler Lockett,9725927,WR,4600,WAS@SEA 11/05/2017 04:05PM ET,SEA,
,,,,,,,,,,TE,Jason Witten (9725531),Jason Witten,9725531,TE,4600,KC@DAL 11/05/2017 04:25PM ET,DAL,
,,,,,,,,,,RB,T.J. Yeldon (9725991),T.J. Yeldon,9725991,RB,4500,CIN@JAX 11/05/2017 01:00PM ET,JAX,
,,,,,,,,,,TE,Cameron Brate (9725822),Cameron Brate,9725822,TE,4500,TB@NO 11/05/2017 01:00PM ET,TB,
,,,,,,,,,,QB,Geno Smith (9725791),Geno Smith,9725791,QB,4500,LAR@NYG 11/05/2017 01:00PM ET,NYG,
,,,,,,,,,,WR,Cooper Kupp (9726054),Cooper Kupp,9726054,WR,4500,LAR@NYG 11/05/2017 01:00PM ET,LAR,
,,,,,,,,,,QB,Brock Osweiler (9725745),Brock Osweiler,9725745,QB,4500,DEN@PHI 11/05/2017 01:00PM ET,DEN,
,,,,,,,,,,QB,Matt Cassel (9725525),Matt Cassel,9725525,QB,4500,BAL@TEN 11/05/2017 01:00PM ET,TEN,
,,,,,,,,,,QB,Ryan Mallett (9725616),Ryan Mallett,9725616,QB,4500,BAL@TEN 11/05/2017 01:00PM ET,BAL,
,,,,,,,,,,QB,Cooper Rush (9726027),Cooper Rush,9726027,QB,4500,KC@DAL 11/05/2017 04:25PM ET,DAL,
,,,,,,,,,,QB,Matt Moore (9726240),Matt Moore,9726240,QB,4500,OAK@MIA 11/05/2017 08:30PM ET,MIA,
,,,,,,,,,,WR,Kenny Stills (9726254),Kenny Stills,9726254,WR,4500,OAK@MIA 11/05/2017 08:30PM ET,MIA,
,,,,,,,,,,WR,Kenny Golladay (9726287),Kenny Golladay,9726287,WR,4500,DET@GB 11/06/2017 08:30PM ET,DET,
,,,,,,,,,,QB,Joe Callahan (9726303),Joe Callahan,9726303,QB,4500,DET@GB 11/06/2017 08:30PM ET,GB,
,,,,,,,,,,RB,Ty Montgomery (9726304),Ty Montgomery,9726304,RB,4500,DET@GB 11/06/2017 08:30PM ET,GB,
,,,,,,,,,,TE,Greg Olsen (9725547),Greg Olsen,9725547,TE,4400,ATL@CAR 11/05/2017 01:00PM ET,CAR,
,,,,,,,,,,RB,Chris Ivory (9725608),Chris Ivory,9725608,RB,4400,CIN@JAX 11/05/2017 01:00PM ET,JAX,
