Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,YdsPerTarget,YdsPerRec,Rush,Yds,TD,Fum,Lost,FantasyPts
2016,REG,1,Marquise Goodwin,WR,2,BUF,NYJ,5,2,40,112,1,84,22,56,0,0,0,0,0,18.20
2016,REG,2,Greg Salas,WR,2,BUF,NYJ,5,4,80,89,1,71,18,22,0,0,0,0,0,16.90
2016,REG,3,Robert Woods,WR,4,BUF,NE,10,7,70,89,0,23,9,13,0,0,0,0,0,12.40
2016,REG,4,Marquise Goodwin,WR,5,BUF,LAR,6,2,33,13,1,7,2,7,0,0,0,0,0,8.30
2016,REG,5,Robert Woods,WR,3,BUF,ARI,8,6,75,51,0,24,6,9,0,0,0,0,0,8.10
2016,REG,6,Justin Hunter,WR,5,BUF,LAR,1,1,100,4,1,4,4,4,0,0,0,0,0,6.90
2016,REG,7,Sammy Watkins,WR,1,BUF,BAL,6,4,67,43,0,19,7,11,0,0,0,0,0,6.30
2016,REG,8,Walter Powell,WR,3,BUF,ARI,5,3,60,28,0,14,6,9,0,0,0,0,0,4.30
2016,REG,9,Walter Powell,WR,4,BUF,NE,5,4,80,22,0,11,4,6,0,0,0,0,0,4.20
2016,REG,10,Robert Woods,WR,1,BUF,BAL,5,4,80,20,0,9,4,5,0,0,0,0,0,4.00
2016,REG,11,Robert Woods,WR,5,BUF,LAR,6,2,33,26,0,17,4,13,0,0,0,0,0,3.60
2016,REG,12,Sammy Watkins,WR,2,BUF,NYJ,5,2,40,20,0,11,4,10,0,0,0,0,0,3.00
2016,REG,13,Marquise Goodwin,WR,4,BUF,NE,5,1,20,12,0,12,2,12,0,0,0,0,0,1.70
2016,REG,14,Robert Woods,WR,2,BUF,NYJ,2,1,50,10,0,10,5,10,0,0,0,0,0,1.50
2016,REG,15,Marquise Goodwin,WR,3,BUF,ARI,5,1,20,6,0,6,1,6,0,0,0,0,0,1.10
2016,REG,16,Brandon Tate,WR,4,BUF,NE,0,0,0,0,0,0,0,0,1,4,0,0,0,0.40
2016,REG,17,Brandon Tate,WR,1,BUF,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,18,Greg Salas,WR,1,BUF,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,19,Marquise Goodwin,WR,1,BUF,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,20,Brandon Tate,WR,2,BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,21,Walter Powell,WR,2,BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,22,Brandon Tate,WR,3,BUF,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,23,Brandon Tate,WR,5,BUF,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,24,Walter Powell,WR,5,BUF,LAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,Kelvin Benjamin,WR,2,CAR,SF,9,7,78,108,2,25,12,15,0,0,0,0,0,26.30
2016,REG,2,Kelvin Benjamin,WR,1,CAR,DEN,12,6,50,91,1,17,8,15,0,0,0,0,0,18.10
2016,REG,3,Corey Brown,WR,4,CAR,ATL,7,5,71,48,1,16,7,10,0,0,0,0,0,13.30
2016,REG,4,Kelvin Benjamin,WR,4,CAR,ATL,7,3,43,39,1,21,6,13,0,0,0,0,0,11.40
2016,REG,5,Kelvin Benjamin,WR,5,CAR,TB,9,5,56,70,0,18,8,14,0,0,0,0,0,9.50
2016,REG,6,Devin Funchess,WR,2,CAR,SF,4,2,50,19,1,16,5,10,0,0,0,0,0,8.90
2016,REG,7,Ted Ginn,WR,3,CAR,MIN,7,3,43,62,0,31,9,21,2,5,0,0,0,8.20
2016,REG,8,Corey Brown,WR,3,CAR,MIN,5,4,80,57,0,27,11,14,0,0,0,0,0,7.70
2016,REG,9,Devin Funchess,WR,4,CAR,ATL,3,2,67,56,0,48,19,28,0,0,0,0,0,6.60
2016,REG,10,Ted Ginn,WR,2,CAR,SF,4,2,50,51,0,52,13,26,1,5,0,1,1,4.60
2016,REG,11,Ted Ginn,WR,1,CAR,DEN,1,1,100,5,0,5,5,5,1,20,0,0,0,3.00
2016,REG,12,Corey Brown,WR,2,CAR,SF,6,3,50,15,0,8,3,5,0,0,0,0,0,3.00
2016,REG,13,Ted Ginn,WR,4,CAR,ATL,5,2,40,14,0,8,3,7,0,0,0,0,0,2.40
2016,REG,14,Corey Brown,WR,5,CAR,TB,4,2,50,13,0,7,3,7,0,0,0,0,0,2.30
2016,REG,15,Corey Brown,WR,1,CAR,DEN,2,1,50,11,0,11,6,11,0,0,0,0,0,1.60
2016,REG,16,Devin Funchess,WR,1,CAR,DEN,4,1,25,9,0,9,2,9,0,0,0,0,0,1.40
2016,REG,17,Brenton Bersin,WR,2,CAR,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,18,Kelvin Benjamin,WR,3,CAR,MIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,19,Devin Funchess,WR,3,CAR,MIN,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,20,Brenton Bersin,WR,5,CAR,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,21,Devin Funchess,WR,5,CAR,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,22,Ted Ginn,WR,5,CAR,TB,1,1,100,5,0,5,5,5,0,0,0,1,1,-1.00
2016,REG,1,Cameron Meredith,WR,5,CHI,IND,12,9,75,130,1,30,11,14,1,6,0,2,1,22.10
2016,REG,2,Eddie Royal,WR,4,CHI,DET,7,7,100,111,1,64,16,16,0,0,0,0,0,20.60
2016,REG,3,Eddie Royal,WR,1,CHI,HOU,6,4,67,57,1,19,10,14,0,0,0,0,0,13.70
2016,REG,4,Eddie Royal,WR,2,CHI,PHI,6,4,67,52,0,31,9,13,0,0,0,0,0,13.20
2016,REG,5,Alshon Jeffery,WR,1,CHI,HOU,6,4,67,105,0,54,18,26,0,0,0,0,0,12.50
2016,REG,6,Alshon Jeffery,WR,2,CHI,PHI,7,5,71,96,0,49,14,19,0,0,0,0,0,12.10
2016,REG,7,Alshon Jeffery,WR,5,CHI,IND,6,5,83,77,0,38,13,15,0,0,0,0,0,10.20
2016,REG,8,Alshon Jeffery,WR,3,CHI,DAL,7,5,71,70,0,22,10,14,0,0,0,0,0,9.50
2016,REG,9,Kevin White,WR,3,CHI,DAL,14,6,43,62,0,32,4,10,0,0,0,0,0,9.20
2016,REG,10,Kevin White,WR,4,CHI,DET,9,6,67,55,0,19,6,9,0,0,0,0,0,8.50
2016,REG,11,Eddie Royal,WR,5,CHI,IND,9,7,78,43,0,12,5,6,0,0,0,1,0,7.80
2016,REG,12,Kevin White,WR,2,CHI,PHI,6,4,67,36,0,19,6,9,1,9,0,0,0,6.50
2016,REG,13,Alshon Jeffery,WR,4,CHI,DET,5,3,60,46,0,22,9,15,0,0,0,0,0,6.10
2016,REG,14,Kevin White,WR,1,CHI,HOU,7,3,43,34,0,19,5,11,0,0,0,0,0,4.90
2016,REG,15,Cameron Meredith,WR,4,CHI,DET,5,4,80,28,0,12,6,7,0,0,0,0,0,4.80
2016,REG,16,Eddie Royal,WR,3,CHI,DAL,3,3,100,21,0,10,7,7,0,0,0,0,0,3.60
2016,REG,17,Josh Bellamy,WR,5,CHI,IND,1,1,100,14,0,14,14,14,0,0,0,0,0,1.90
2016,REG,18,Cameron Meredith,WR,3,CHI,DAL,3,2,67,24,0,24,8,12,0,0,0,1,1,1.40
2016,REG,19,Deonte Thompson,WR,1,CHI,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,20,Josh Bellamy,WR,1,CHI,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,21,Deonte Thompson,WR,2,CHI,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,22,Josh Bellamy,WR,2,CHI,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,23,Deonte Thompson,WR,3,CHI,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,24,Josh Bellamy,WR,3,CHI,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,25,Deonte Thompson,WR,4,CHI,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
