Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,YdsPTarget,YdsPRec,Rush,Fum,Lost,FantasyPts
2016,REG,21,Brice Butler,WR,2,DAL,WAS,1,0,0,0,0,0,0,0,0,0,0,0
2016,REG,22,Terrance Williams,WR,2,DAL,WAS,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,23,Lucky Whitehead,WR,2,DAL,WAS,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,24,Chris Brown,WR,2,DAL,WAS,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,25,Brice Butler,WR,3,DAL,CHI,1,0,0,0,0,0,0,0,0,0,0,0
2016,REG,26,Chris Brown,WR,3,DAL,CHI,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,27,Chris Brown,WR,4,DAL,SF,0,0,0,0,0,0,0,0,0,0,0,0
2016,REG,1,Emmanuel Sanders,WR,3,DEN,CIN,13,9,69,0,0,41,9,13,0,0,0,35.7
2016,REG,2,Demaryius Thomas,WR,3,DEN,CIN,7,6,86,0,0,55,14,17,0,1,1,24
2016,REG,3,Emmanuel Sanders,WR,4,DEN,TB,13,8,62,0,0,18,7,11,0,0,0,22.8
2016,REG,4,Demaryius Thomas,WR,4,DEN,TB,7,6,86,0,0,31,13,16,0,0,0,21.4
2016,REG,5,Demaryius Thomas,WR,2,DEN,IND,7,5,71,0,0,44,13,18,0,0,0,16
2016,REG,6,Demaryius Thomas,WR,5,DEN,ATL,7,5,71,0,0,14,7,10,0,0,0,15.9
2016,REG,7,Emmanuel Sanders,WR,5,DEN,ATL,9,7,78,0,0,26,9,11,0,1,0,15
2016,REG,8,Emmanuel Sanders,WR,1,DEN,CAR,8,5,63,0,0,15,6,10,0,0,0,9.9
2016,REG,9,Demaryius Thomas,WR,1,DEN,CAR,6,4,67,0,0,23,8,12,0,0,0,8.8
2016,REG,10,Emmanuel Sanders,WR,2,DEN,IND,8,3,38,0,0,19,5,13,0,0,0,6.9
2016,REG,11,Jordan Norwood,WR,2,DEN,IND,4,3,75,0,0,9,6,8,0,0,0,5.4
2016,REG,12,Jordan Norwood,WR,4,DEN,TB,2,2,100,0,0,21,13,13,0,0,0,4.5
2016,REG,13,Jordan Norwood,WR,5,DEN,ATL,3,2,67,0,0,17,8,12,0,0,0,4.4
2016,REG,14,Bennie Fowler,WR,5,DEN,ATL,2,2,100,0,0,7,7,7,0,0,0,3.3
2016,REG,15,Cody Latimer,WR,2,DEN,IND,2,2,100,0,0,8,6,6,0,0,0,3.2
