"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"21947-22113","RB","Alfred","Alfred Morris","Morris","2.6142856052943637","7","6000","PHI@DAL","DAL","PHI","","","",""
"21947-22894","QB","Kellen","Kellen Moore","Moore","0","0","6000","PHI@DAL","DAL","PHI","","","",""
"21947-29683","WR","Nelson","Nelson Agholor","Agholor","9.700000339084202","9","6000","PHI@DAL","PHI","DAL","","","",""
"21947-27776","RB","Tevin","Tevin Coleman","Coleman","10.299999660915798","9","5900","ATL@SEA","ATL","SEA","","","",""
"21947-26610","WR","Paul","Paul Richardson","Richardson","9.866667005750868","9","5900","ATL@SEA","SEA","ATL","","","",""
"21947-22018","WR","Mohamed","Mohamed Sanu","Sanu","8.850000381469727","8","5700","ATL@SEA","ATL","SEA","","","",""
"21947-27050","WR","Tyler","Tyler Lockett","Lockett","6.222222222222222","9","5500","ATL@SEA","SEA","ATL","","","",""
"21947-40758","RB","Corey","Corey Clement","Clement","7.757142748151507","7","5400","PHI@DAL","PHI","DAL","","","",""
"21947-28095","RB","Thomas","Thomas Rawls","Rawls","3.566666603088379","6","5400","ATL@SEA","SEA","ATL","","","",""
"21947-6641","TE","Jason","Jason Witten","Witten","8.311111450195312","9","5400","PHI@DAL","DAL","PHI","","","",""
"21947-22288","WR","Cole","Cole Beasley","Beasley","6.088888804117839","9","5300","PHI@DAL","DAL","PHI","","","",""
"21947-40126","TE","Austin","Austin Hooper","Hooper","7.944444444444445","9","5300","ATL@SEA","ATL","SEA","","","",""
"21947-54753","WR","Taylor","Taylor Gabriel","Gabriel","5.533333248562283","9","5300","ATL@SEA","ATL","SEA","","","",""
"21947-30968","RB","Eddie","Eddie Lacy","Lacy","2.9166666666666665","6","5300","ATL@SEA","SEA","ATL","Q","Groin","",""
"21947-28545","RB","Rod","Rod Smith","Smith","3.7750000953674316","4","5200","PHI@DAL","DAL","PHI","","","",""
"21947-11779","RB","LeGarrette","LeGarrette Blount","Blount","8.322222391764322","9","5200","PHI@DAL","PHI","DAL","","","",""
"21947-41235","K","Jake","Jake Elliott","Elliott","11.75","8","5100","PHI@DAL","PHI","DAL","","","",""
"21947-12550","D","Seattle","Seattle Seahawks","Seahawks","10","9","5000","ATL@SEA","SEA","ATL","","","",""
"21947-43334","RB","J.D.","J.D. McKissic","McKissic","6.716666539510091","6","4900","ATL@SEA","SEA","ATL","","","",""
"21947-31836","WR","Terrance","Terrance Williams","Williams","5.788888719346788","9","4900","PHI@DAL","DAL","PHI","","","",""
"21947-10647","K","Matt","Matt Bryant","Bryant","9.444444444444445","9","4800","ATL@SEA","ATL","SEA","","","",""
"21947-14288","WR","Torrey","Torrey Smith","Smith","3.922222137451172","9","4800","PHI@DAL","PHI","DAL","","","",""
"21947-14952","K","Dan","Dan Bailey","Bailey","7","6","4800","PHI@DAL","DAL","PHI","D","Groin","",""
"21947-6636","K","Mike","Mike Nugent","Nugent","7","3","4800","PHI@DAL","DAL","PHI","","","",""
"21947-38509","RB","Wendell","Wendell Smallwood","Smallwood","5.100000108991351","7","4800","PHI@DAL","PHI","DAL","","","",""
"21947-12545","D","Philadelphia","Philadelphia Eagles","Eagles","9.555555555555555","9","4700","PHI@DAL","PHI","DAL","","","",""
"21947-33472","RB","C.J.","C.J. Prosise","Prosise","3.5","4","4700","ATL@SEA","SEA","ATL","Q","Ankle","",""
"21947-22110","K","Blair","Blair Walsh","Walsh","7.333333333333333","9","4700","ATL@SEA","SEA","ATL","","","",""
"21947-39445","WR","Brice","Brice Butler","Butler","5.162499904632568","8","4600","PHI@DAL","DAL","PHI","","","",""
"21947-7806","RB","Darren","Darren McFadden","McFadden","-0.20000000298023224","1","4600","PHI@DAL","DAL","PHI","","","",""
"21947-32000","TE","Luke","Luke Willson","Willson","4.150000095367432","8","4500","ATL@SEA","SEA","ATL","","","",""
"21947-27527","TE","Blake","Blake Jarwin","Jarwin","0","0","4500","PHI@DAL","DAL","PHI","","","",""
"21947-22800","RB","Derrick","Derrick Coleman","Coleman","0.949999988079071","4","4500","ATL@SEA","ATL","SEA","","","",""
"21947-23569","TE","Rico","Rico Gathers","Gathers","0","0","4500","PHI@DAL","DAL","PHI","IR","Concussion","",""
"21947-28055","WR","Amara","Amara Darboh","Darboh","1.4666666984558105","6","4500","ATL@SEA","SEA","ATL","","","",""
